stage,seed,radius,width,method,normalized_regret,regret,target_mse,normal_contribution,test_cost,rare_cost,common_cost,rare_axis_span,student_boundary_fraction,weighted_distance,radial_slack
neural_information_transfer,12102,0.5,16,weight,0.0003147208282278877,3.525031015968476e-05,1.0371644886400509e-05,2.778272584147484e-05,7.583160373928559,60.951307505188964,1.7593414478798337,1.0,0.69366455078125,3.5247607628663934e-05,2.7025310197563248e-09
neural_information_transfer,12102,0.5,16,point,0.00018053979115293414,2.0221361484526345e-05,5.15873238611533e-06,1.6507074166521984e-05,7.583082780949235,60.9510607034993,1.759282319864027,1.0000000000000002,0.6954345703125,2.0220757653091707e-05,6.038314338311697e-10
neural_information_transfer,12102,0.5,16,shuffled,0.04590713314798218,0.005141829001659076,0.0020708615835619212,0.0036508086614944913,7.616789033331269,60.966992074155314,1.7949282628324623,1.0,0.6865234375,0.0051411522052217514,6.767964373244212e-07
neural_information_transfer,12102,2.0,2,restored,0.4168871156680981,0.12281456396991294,0.13758023935401756,0.023756791635020306,7.174954197264055,52.13756796597968,2.2683922290018304,0.9999957559323058,0.07735188802083333,0.11177512394612522,0.011039440023787737
neural_information_transfer,12102,2.0,2,shuffled,0.41832972333333357,0.12323955487207025,0.1351819295792705,0.02590856557499548,7.181783553153732,52.449078159905625,2.241973175000194,0.9953621714301721,0.07881673177083333,0.11237837960328746,0.010861175268782788
neural_information_transfer,12102,2.0,2,point,0.4103291770964057,0.12088260124918185,0.13160735663184348,0.026125304474254558,7.1643910201852625,52.447760991521484,2.222826411886184,0.9999845228359795,0.07633463541666666,0.11021475238644587,0.010667848862735987
neural_information_transfer,12102,2.0,2,weight,0.4174919028261285,0.12299273371495069,0.13760926035100463,0.02391406626222735,7.170811264392616,52.10084867842423,2.2678042029643084,0.9999968688299327,0.07515462239583333,0.11155582541842475,0.011436908296525926
neural_information_transfer,12102,2.0,4,point,0.27526586102323974,0.08109307154574377,0.08903672712531455,0.01698662801551729,6.9367109255555075,52.39028829608912,1.9765723714463705,0.9999912964113316,0.09718831380208333,0.0756728791957734,0.005420192349970374
neural_information_transfer,12102,2.0,4,restored,0.2817809080210439,0.0830123984479353,0.09251915105577986,0.01639860968777379,6.940883109645959,52.280797161387994,1.9931481075197626,0.9999822194491251,0.09600830078125,0.07738707588213851,0.005625322565796792
neural_information_transfer,12102,2.0,4,shuffled,0.28736574447617164,0.08465768617284034,0.0916912558026747,0.018639981994914533,6.958863965094588,52.53722416981878,1.985108437744507,0.9976105166042534,0.09578450520833333,0.07895780343146525,0.005699882741375108
neural_information_transfer,12102,2.0,4,weight,0.2798283390071567,0.0824371733976782,0.09164229059872869,0.016454724166593528,6.926812516250029,52.21673585391286,1.9845327694105706,0.9999769215808222,0.08500162760416666,0.07605333436174261,0.00638383903593559
neural_information_transfer,12102,2.0,16,shuffled,0.004696500627017164,0.0013835848003293776,0.001573112367705471,0.0002509438955814414,6.464547845955794,52.044479231099416,1.4906208629574504,1.0000000000000013,0.21195475260416666,0.0013572030379154572,2.6381762413923844e-05
neural_information_transfer,12102,2.0,16,restored,0.00016065636519078553,4.73292186261906e-05,4.6332372940172426e-05,1.3969910109269168e-05,6.459362202086761,52.02470375082695,1.4870273404181185,1.0000000000000024,0.20819091796875,4.7300158198947314e-05,2.90604272463281e-08
neural_information_transfer,12102,2.0,16,point,0.00015368259593521942,4.5274752565332494e-05,3.774166784957555e-05,1.810075171364012e-05,6.4594337696622945,52.02519620407779,1.4870529786876288,1.0000000000000004,0.20780436197916666,4.52571504437261e-05,1.7602121608673105e-08
neural_information_transfer,12102,2.0,16,weight,0.0003960195509727443,0.00011666699844712952,0.00011507077336514568,3.381604162422636e-05,6.459558867761059,52.025821371886124,1.4871235064931463,0.9999999999999996,0.20796712239583331,0.00011659236751855346,7.463092857804658e-08
neural_information_transfer,12102,8.0,2,shuffled,0.25046798883126875,0.12988618440914163,0.1797324122899065,0.00047884756040893884,6.257498142239388,42.81202488522737,2.2684718012092895,0.9999931302353997,0.024800618489583332,0.12987792765610903,8.256753032603813e-06
neural_information_transfer,12102,8.0,2,restored,0.2501241432604291,0.1297078750394264,0.17973235336908414,0.0003005806136858254,6.26365616706267,42.8310801111362,2.273222414162147,0.9999955926030903,0.024637858072916664,0.12969241112094793,1.5463918478486766e-05
neural_information_transfer,12102,8.0,2,point,0.2500500324622659,0.12966944310709905,0.1796368173277302,0.000330934631133273,6.263253349001873,42.83501240275041,2.2723465256439916,0.999996084842702,0.024617513020833332,0.12965391641885224,1.5526688246789723e-05
neural_information_transfer,12102,8.0,2,weight,0.25007345188829616,0.12968158781230596,0.1797112862597046,0.0002894617053186302,6.263712012132695,42.82958353802498,2.273447667444206,0.9999956595621279,0.0245361328125,0.12966282975031077,1.8758061995202075e-05
neural_information_transfer,12102,8.0,4,point,0.1919776385977927,0.09955461009487494,0.1382318130230491,2.7704718279568288e-05,6.073612393212157,42.459627505144155,2.1029749466623073,0.9999963490085982,0.02496337890625,0.09955454531601687,6.477885807198616e-08
neural_information_transfer,12102,8.0,4,shuffled,0.19196256300056053,0.09954679228226218,0.13822268228840334,2.6461034611772073e-05,6.073385295817503,42.457421091838775,2.1029638428533617,0.9999977017285703,0.02490234375,0.09954667308136335,1.192008988365824e-07
neural_information_transfer,12102,8.0,4,weight,0.1920820705430019,0.09960876578541622,0.13830831924747625,2.6775927233307456e-05,6.073806779275346,42.45949500556806,2.103205004242592,0.9999929851655798,0.02496337890625,0.09960867915046463,8.663495158146608e-08
neural_information_transfer,12102,8.0,4,restored,0.1920179325750055,0.09957550550342298,0.1382624316188596,2.6554737844057032e-05,6.073685453609761,42.459703219839845,2.103047717408644,0.9999930542819853,0.02496337890625,0.09957539159135588,1.139120670853222e-07
neural_information_transfer,12102,8.0,16,restored,0.00023828671499907345,0.00012356929263111636,0.000154514147973032,1.231910609053406e-05,5.538326615854793,42.455185425800806,1.509760653112241,1.0000000000000004,0.0250244140625,0.00012356697357873768,2.319052379386022e-09
neural_information_transfer,12102,8.0,16,shuffled,0.00042783056019817835,0.0002218618007716826,0.0002900957243747288,1.2992879221877328e-05,5.537395197068123,42.443915268416994,1.509957453024365,1.0000000000000018,0.024861653645833332,0.00022175890920669725,1.0289156498504617e-07
neural_information_transfer,12102,8.0,16,weight,0.00017854290701504837,9.258770772948251e-05,0.00011339393066915519,1.0944077647691955e-05,5.538361022265744,42.4548928984296,1.509830736293896,1.0000000000000009,0.0250244140625,9.258556595867544e-05,2.1417708081375903e-09
neural_information_transfer,12102,8.0,16,point,0.00021687944110469423,0.00011246803718639175,0.0001378547719899231,1.3212601353648948e-05,5.538327092171528,42.45503883269004,1.5097771784350098,1.0000000000000004,0.025044759114583332,0.00011246721873093475,8.184554588360871e-10
neural_information_transfer,12102,32.0,2,point,0.232506080903296,0.1312024290817851,0.18222559594692372,0.0,6.290562671254618,43.10696746082258,2.2729587908874644,0.9999947989691559,0.0,0.1312024290817851,0.0
neural_information_transfer,12102,32.0,2,restored,0.232506080903296,0.1312024290817851,0.18222559594692372,0.0,6.290562671254618,43.10696746082258,2.2729587908874644,0.9999947989691559,0.0,0.1312024290817851,0.0
neural_information_transfer,12102,32.0,2,shuffled,0.232506080903296,0.1312024290817851,0.18222559594692372,0.0,6.290562671254618,43.10696746082258,2.2729587908874644,0.9999947989691559,0.0,0.1312024290817851,0.0
neural_information_transfer,12102,32.0,2,weight,0.232506080903296,0.1312024290817851,0.18222559594692372,0.0,6.290562671254618,43.10696746082258,2.2729587908874644,0.9999947989691559,0.0,0.1312024290817851,0.0
